timestamp,userId,movieId,title,rating
2024-04-22 20:20:26,386,34,Babe (1995),4.0
2024-06-25 14:39:45,203,2947,Goldfinger (1964),3.0
2024-12-26 18:31:48,598,1197,"Princess Bride, The (1987)",2.5
2024-09-26 18:31:05,145,316,Stargate (1994),2.0
2023-09-11 07:18:34,157,1270,Back to the Future (1985),4.0
2024-12-01 16:50:22,358,55052,Atonement (2007),5.0
2025-04-02 11:03:47,150,3,Grumpier Old Men (1995),3.0
2025-03-19 04:02:33,206,719,Multiplicity (1996),3.0
2023-06-09 01:09:35,583,4306,Shrek (2001),3.0
2023-11-19 21:29:26,231,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.0
2025-03-17 01:28:01,558,3285,"Beach, The (2000)",4.0
2023-07-12 07:18:23,130,329,Star Trek: Generations (1994),3.0
2024-05-21 04:51:22,113,222,Circle of Friends (1995),4.0
2023-10-30 16:50:37,28,59369,Taken (2008),4.0
2023-06-27 08:35:13,119,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",5.0
2024-07-09 21:17:00,81,480,Jurassic Park (1993),4.0
2023-09-21 20:15:28,106,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),5.0
2023-12-02 09:05:17,394,225,Disclosure (1994),4.0
2025-03-06 01:41:47,230,736,Twister (1996),4.0
2024-08-04 15:10:21,166,3000,Princess Mononoke (Mononoke-hime) (1997),5.0
2023-08-02 18:26:07,64,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),3.5
2023-05-28 06:22:21,247,48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",4.0
2023-08-01 06:26:10,347,317,"Santa Clause, The (1994)",4.0
2023-07-24 01:22:43,164,2115,Indiana Jones and the Temple of Doom (1984),4.0
2025-01-27 17:47:57,277,788,"Nutty Professor, The (1996)",3.0
2023-12-18 12:35:31,88,50,"Usual Suspects, The (1995)",5.0
2024-03-25 13:41:00,326,44555,"Lives of Others, The (Das leben der Anderen) (2006)",4.5
2024-11-13 16:43:36,312,1674,Witness (1985),4.0
2023-10-05 13:10:05,71,260,Star Wars: Episode IV - A New Hope (1977),3.0
